link,street,city,state,zip,square_feet,price,bedrooms,bathroom,type
https://www.trulia.com/property/3259956617-153-Chestnut-Ave-Jersey-City-NJ-07306,153 Chestnut Ave,Jersey City,NJ,7306,n/a,"579,000",4 Bedrooms,"2 full, 1 partial Bathrooms",Multi-Family
https://www.trulia.com/property/3262537419-476-Monmouth-St-402-Jersey-City-NJ-07302,476 Monmouth St #402,Jersey City,NJ,7302,810,"699,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3002247097-1-Greene-St-M8-Jersey-City-NJ-07302,1 Greene St #M8,Jersey City,NJ,7302,"1,227","798,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3262500440-238-Ogden-Ave-6-Jersey-City-NJ-07307,238 Ogden Ave #6,Jersey City,NJ,7307,750,"400,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3259757182-612-Jersey-Ave-2-Jersey-City-NJ-07302,612 Jersey Ave #2,Jersey City,NJ,7302,600,"450,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3259837119-110-Booraem-Ave-3-Jersey-City-NJ-07307,110 Booraem Ave #3,Jersey City,NJ,7307,"1,200","399,000",3 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3261665859-100-Prospect-St-205-Jersey-City-NJ-07307,100 Prospect St #205,Jersey City,NJ,7307,394,"149,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3259764355-88-Morgan-St-3805-Jersey-City-NJ-07302,88 Morgan St #3805,Jersey City,NJ,7302,"1,486","1,268,888",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3238329767-62-Carlton-Ave-1-Jersey-City-NJ-07306,62 Carlton Ave #1,Jersey City,NJ,7306,"2,020","629,000",4 Bedrooms,"3 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3139527753-349-Pavonia-Ave-1-Jersey-City-NJ-07302,349 Pavonia Ave #1,Jersey City,NJ,7302,887,"599,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3262198196-184-5-Stegman-St-Jersey-City-NJ-07305,184 5 Stegman St,Jersey City,NJ,7305,"1,450","205,000",3 Bedrooms,"1 full, 1 partial Bathrooms",Single-Family Home
https://www.trulia.com/property/3239274485-429-Fairmount-Ave-110-Jersey-City-NJ-07306,429 Fairmount Ave #110,Jersey City,NJ,7306,501,"149,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/1077349459-220-Fulton-Ave-Jersey-City-NJ-07305,220 Fulton Ave,Jersey City,NJ,7305,n/a,"260,000",6 Bedrooms,4 full Bathrooms,Multi-Family
https://www.trulia.com/property/3262488607-300-Communipaw-Ave-201-Jersey-City-NJ-07304,300 Communipaw Ave #201,Jersey City,NJ,7304,"1,006","499,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3245272396-112-Grant-Ave-Jersey-City-NJ-07305,112 Grant Ave,Jersey City,NJ,7305,n/a,"280,000",6 Bedrooms,1 full Bathroom,Multi-Family
https://www.trulia.com/property/3212488327-69-Atlantic-St-Jersey-City-NJ-07304,69 Atlantic St,Jersey City,NJ,7304,n/a,"299,000",7 Bedrooms,3 full Bathrooms,Unknown
https://www.trulia.com/property/3261329415-81-83-Grand-St-8-Jersey-City-NJ-07302,81-83 Grand St #8,Jersey City,NJ,7302,"1,036","699,000",1 Bedroom,"1 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3187661757-4-Beacon-Way-408-Jersey-City-NJ-07304,4 Beacon Way #408,Jersey City,NJ,7304,"1,264","429,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3261906376-153-Lincoln-St-1R-Jersey-City-NJ-07307,153 Lincoln St #1R,Jersey City,NJ,7307,"1,039","325,000",2 Bedrooms,Apartment/Condo/Townhouse,
https://www.trulia.com/property/3259960023-276-Griffith-St-2-Jersey-City-NJ-07307,276 Griffith St #2,Jersey City,NJ,7307,"1,367","475,000",3 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/1091740669-74-Palisade-Ave-8-Jersey-City-NJ-07306,74 Palisade Ave #8,Jersey City,NJ,7306,"1,000","265,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3262149243-120-Sherman-Ave-3D-Jersey-City-NJ-07307,120 Sherman Ave #3D,Jersey City,NJ,7307,770,"346,500",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3262164886-78-Lake-St-Jersey-City-NJ-07306,78 Lake St,Jersey City,NJ,7306,n/a,"1,500",Lot,,
https://www.trulia.com/property/3132965619-122-Liberty-View-Dr-F-Jersey-City-NJ-07302,122 Liberty View Dr #F,Jersey City,NJ,7302,n/a,"1,500,000",3 Bedrooms,3 full Bathrooms,Apartment‹_Condo‹_Townhouse
https://www.trulia.com/property/3207309784-348-Palisade-Ave-202-Jersey-City-NJ-07307,348 Palisade Ave #202,Jersey City,NJ,7307,700,"198,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3260798248-305-Whiton-St-201-Jersey-City-NJ-07304,305 Whiton St #201,Jersey City,NJ,7304,800,"299,000",1 Bedroom,1 full Bathroom,Condo
https://www.trulia.com/property/3261724599-76-Astor-Pl-Jersey-City-NJ-07304,76 Astor Pl,Jersey City,NJ,7304,600,"329,000",3 Bedrooms,3 full Bathrooms,Townhouse
https://www.trulia.com/property/3260632314-16-Butternut-St-52E-Jersey-City-NJ-07305,16 Butternut St #52E,Jersey City,NJ,7305,"1,310","315,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/1053685948-205-Thorne-St-Jersey-City-NJ-07307,205 Thorne St,Jersey City,NJ,7307,n/a,"379,000",4 Bedrooms,3 full Bathrooms,Multi-Family
