street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
704 E 27TH St,7504,PATERSON,NJ,Passaic,40.913593,-74.148849,MultiFamily2To4,2015,181772,NA,3484,NA,2,6,4/13/17,106000,764248,neighborhood,Eastside
344 Cupsaw Dr,7456,Ringwood,NJ,Passaic,41.11634,-74.251271,SingleFamily,2015,419621,1981,19166,2625,3,4,4/13/17,384900,47392,city,Ringwood
157 Luddington Ave,7011,Clifton,NJ,Passaic,40.877409,-74.150416,SingleFamily,2015,285109,1940,6098,NA,1,2,4/13/17,310000,24120,city,Clifton
12 Park Pl,7442,Pompton Lakes,NJ,Passaic,41.010375,-74.274505,SingleFamily,2015,163339,NA,7749,768,1,2,4/13/17,195000,53952,city,Pompton Lakes
1 Cherba Pl,7512,Totowa,NJ,Passaic,40.90348,-74.219053,SingleFamily,2015,446100,1975,6534,2120,3,4,4/13/17,38000,27446,city,Totowa
68 Ravona St,7012,Clifton,NJ,Passaic,40.844474,-74.147087,SingleFamily,2015,626037,2012,11325,NA,5,8,4/13/17,998000,24120,city,Clifton
47 New Brier Ln,7012,Clifton,NJ,Passaic,40.846283,-74.167445,SingleFamily,2015,290408,1932,3999,NA,NA,NA,4/13/17,305000,24120,city,Clifton
23 Glen Oaks Ct,7012,Clifton,NJ,Passaic,40.858927,-74.157612,SingleFamily,2015,286521,1953,5227,NA,2,4,4/13/17,325000,24120,city,Clifton
18 Coyles Ct,7013,Clifton,NJ,Passaic,40.859686,-74.177132,Condominium,2015,285462,1954,5623,NA,1,3,4/13/17,336000,24120,city,Clifton
113 Demott Ave,7011,Clifton,NJ,Passaic,40.872722,-74.143249,SingleFamily,2015,239887,1910,4356,NA,2,3,4/13/17,200000,24120,city,Clifton
72 Pearl Brook Dr,7013,Clifton,NJ,Passaic,40.86029,-74.19282,SingleFamily,2015,693340,NA,NA,NA,5,3,4/13/17,505000,39839,city,Montclair
29 Butler St,7011,Clifton,NJ,Passaic,40.892274,-74.164861,MultiFamily2To4,2015,360360,1964,4791,NA,3,6,4/12/17,449900,24120,city,Clifton
13 Bender Dr,7013,Clifton,NJ,Passaic,40.878421,-74.169509,SingleFamily,2015,398339,1959,9784,NA,3,3,4/12/17,414900,24120,city,Clifton
1485 Ratzer Rd,7470,Wayne,NJ,Passaic,40.947345,-74.213773,SingleFamily,2015,303320,1953,29185,1252,1,2,4/12/17,220000,27808,city,Wayne
52 Dawson Ave,7012,CLIFTON,NJ,Passaic,40.850964,-74.147079,SingleFamily,2015,252075,1928,3484,1240,2,3,4/12/17,250101,24120,city,Clifton
162 Terrace Ct,7442,Pompton Lakes,NJ,Passaic,41.010725,-74.288708,Townhouse,2015,216697,2003,3484,NA,2,2,4/12/17,265000,53952,city,Pompton Lakes
113 Greglawn Dr,7013,Clifton,NJ,Passaic,40.867287,-74.175837,SingleFamily,2015,337043,1954,6969,NA,2,4,4/12/17,365000,24120,city,Clifton
326 Vernon Ave,7503,Paterson,NJ,Passaic,40.892368,-74.142562,SingleFamily,2015,182800,1955,3920,2800,2,3,4/12/17,268000,189284,neighborhood,Lakeview
10 Oakwood Ter,7403,Bloomingdale,NJ,Passaic,41.013686,-74.337005,SingleFamily,2015,240825,1960,4791,NA,2,4,4/12/17,303250,51034,city,Bloomingdale
12 Ravine Dr W,7506,Hawthorne,NJ,Passaic,40.97261,-74.156822,SingleFamily,2015,326554,1951,NA,NA,1,2,4/12/17,326900,25074,city,Hawthorne
48 Scoles Ave,7012,Clifton,NJ,Passaic,40.849387,-74.149259,MultiFamily2To4,2016,382117,1960,6251,2370,3,6,4/12/17,43000,24120,city,Clifton
233 Hamilton Ave,7011,Clifton,NJ,Passaic,40.880759,-74.138931,SingleFamily,2015,247659,1930,3994,1300,1,3,4/12/17,270000,24120,city,Clifton
17 Portland Ave,7011,Clifton,NJ,Passaic,40.872886,-74.131156,MultiFamily2To4,2015,305776,1915,3484,NA,2,6,4/12/17,370000,24120,city,Clifton
85 Charles St,7013,Clifton,NJ,Passaic,40.86455,-74.189412,SingleFamily,2015,407702,1956,12196,2800,2,4,4/11/17,315000,24120,city,Clifton
44 Ronald Dr,7013,Clifton,NJ,Passaic,40.864959,-74.185244,SingleFamily,2015,591415,NA,NA,NA,5,5,4/11/17,515000,24120,city,Clifton
419 Harrison St,7055,Passaic,NJ,Passaic,40.867225,-74.133094,Condominium,2015,277196,NA,3484,NA,2,6,4/11/17,235000,19870,city,Passaic
112 Riverdale Blvd,7442,Pompton Lakes,NJ,Passaic,40.986897,-74.292568,SingleFamily,2015,294374,NA,10999,NA,2,3,4/11/17,319900,53952,city,Pompton Lakes
151 Redwood Ave,7522,Paterson,NJ,Passaic,40.923701,-74.18685,MultiFamily2To4,2015,198127,NA,2426,2207,3,7,4/11/17,171500,264176,neighborhood,Totowa
30 Luddington Ave,7011,Clifton,NJ,Passaic,40.87894,-74.144951,SingleFamily,2015,254726,NA,6098,NA,NA,NA,4/11/17,207000,24120,city,Clifton
29 Ethel Dr,7424,Little Falls,NJ,Passaic,40.86857,-74.21616,SingleFamily,2015,328758,1962,14810,1344,2,3,4/11/17,355000,43491,city,Little Falls
49 Ryle Ave,7522,Paterson,NJ,Passaic,40.92161,-74.177146,MultiFamily2To4,2015,140109,1930,2613,NA,3,9,12/8/16,40000,264176,neighborhood,Totowa
142 Walnut St,7522,Paterson,NJ,Passaic,40.915425,-74.185746,SingleFamily,2015,154819,NA,3484,1196,NA,NA,2/13/17,150000,264176,neighborhood,Totowa
651 E 25th St,7504,Paterson,NJ,Passaic,40.917209,-74.149414,MultiFamily2To4,2015,262525,1900,2500,3137,3,10,9/27/16,280000,764248,neighborhood,Eastside
396 E 30th St,7504,Paterson,NJ,Passaic,40.913311,-74.146049,SingleFamily,2015,221994,1940,2613,3287,4,4,9/14/16,175000,764248,neighborhood,Eastside
365 E 30th St,7504,Paterson,NJ,Passaic,40.91424,-74.145268,SingleFamily,2015,181669,NA,2500,1874,NA,NA,11/17/16,107000,764248,neighborhood,Eastside
12 Elm St,7501,Paterson,NJ,Passaic,40.914271,-74.175847,MultiFamily2To4,2015,195247,1940,3484,NA,3,7,1/13/17,120000,764250,neighborhood,Downtown
151 Ryerson Ave,7502,Paterson,NJ,Passaic,40.920446,-74.191854,MultiFamily2To4,2015,147515,1940,2613,2000,2,3,1/17/17,145000,264176,neighborhood,Totowa
339 Paxton St,7503,Paterson,NJ,Passaic,40.89393,-74.161732,SingleFamily,2015,160478,NA,2500,1408,NA,NA,4/13/17,95000,7165,neighborhood,South Paterson
383 Pacific St,7503,Paterson,NJ,Passaic,40.894379,-74.159676,MultiFamily2To4,2015,168809,1940,1306,NA,2,4,1/3/17,148000,7165,neighborhood,South Paterson
105 Lyon St,7524,Paterson,NJ,Passaic,40.929145,-74.159965,MultiFamily2To4,2015,160786,1940,2500,2240,3,6,4/6/17,135000,190055,neighborhood,Riverside
79 Garfield Ave,7522,Paterson,NJ,Passaic,40.927818,-74.1716,MultiFamily2To4,2015,157494,1898,2500,2551,3,6,11/15/16,42500,764254,neighborhood,Northside
167 Pearl St,7501,Paterson,NJ,Passaic,40.916621,-74.15828,MultiFamily2To4,2015,168810,NA,2613,2136,2,4,10/11/16,120000,153287,neighborhood,Sandy Hill
6 Barnert Pl,7522,Paterson,NJ,Passaic,40.929308,-74.17033,MultiFamily2To4,2015,157391,1910,2613,NA,2,6,2/21/17,220000,764254,neighborhood,Northside
162 E 17th St,7524,Paterson,NJ,Passaic,40.933341,-74.152397,MultiFamily2To4,2015,198539,1960,2613,NA,2,4,6/5/12,1000,190055,neighborhood,Riverside
118 Wayne Ave,7502,Paterson,NJ,Passaic,40.918745,-74.185411,MultiFamily2To4,2015,196687,1940,NA,NA,2,6,2/10/17,90000,264176,neighborhood,Totowa
40 19th Ave,7513,Paterson,NJ,Passaic,40.909793,-74.154342,MultiFamily2To4,2015,215925,1900,2613,2468,2,6,1/3/17,275000,26460,neighborhood,People's Park
14 12th Ave,7501,Paterson,NJ,Passaic,40.921367,-74.165016,MultiFamily2To4,2015,221068,2008,2500,NA,3,5,10/27/16,136500,764251,neighborhood,Wrigley Park
102 16th Ave,7501,Paterson,NJ,Passaic,40.915811,-74.163104,SingleFamily,2015,255735,2005,2500,1992,NA,NA,10/19/16,215000,153287,neighborhood,Sandy Hill
158 Wabash Ave,7503,Paterson,NJ,Passaic,40.898531,-74.150551,SingleFamily,2015,187841,NA,5724,1613,NA,NA,11/17/16,200000,189284,neighborhood,Lakeview
139 Park Ave,7501,Paterson,NJ,Passaic,40.915436,-74.160491,MultiFamily2To4,2015,163152,NA,2613,2220,3,5,11/9/16,120000,153287,neighborhood,Sandy Hill
105 Lyon St,7524,Paterson,NJ,Passaic,40.929145,-74.159965,MultiFamily2To4,2015,160786,1940,2500,2240,3,6,4/6/17,135000,190055,neighborhood,Riverside
596 Terhune Dr,7470,Wayne,NJ,Passaic,41.007756,-74.269698,SingleFamily,2015,459762,1965,30361,2508,4,4,4/6/17,565000,27808,city,Wayne
50 Eider Ct,7470,Wayne,NJ,Passaic,40.953072,-74.204645,Condominium,2015,382714,1993,NA,2262,3,4,4/6/17,405000,27808,city,Wayne
143 Brighton Rd,7012,Clifton,NJ,Passaic,40.849982,-74.159936,SingleFamily,2015,257199,1955,4791,NA,1,2,4/6/17,265000,24120,city,Clifton
63 Lilly Rd,7465,Wanaque,NJ,Passaic,41.067746,-74.30105,SingleFamily,2015,420459,1980,30056,NA,3,4,4/6/17,442000,30048,city,Wanaque
