street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
204 Baltimore Ave,7205,Hillside,NJ,Union,40.694231,-74.231215,MultiFamily2To4,2015,199601,1934,2378,2068,3,5,4/28/17,150000,55745,city,Hillside
3 Fairview Rd,7066,Clark,NJ,Union,40.610289,-74.323736,SingleFamily,2015,586252,2004,11325,3281,4,4,4/28/17,810000,10836,city,Clark
98 Severna Ave,7081,Springfield,NJ,Union,40.714785,-74.316078,SingleFamily,2015,319054,NA,5994,NA,NA,NA,4/27/17,337500,41030,city,Springfield
811 Mccandless St,7036,Linden,NJ,Union,40.64095,-74.250523,MultiFamily2To4,2015,357409,NA,3920,NA,2,6,4/27/17,295500,36718,city,Linden
415 Laurita St,7036,Linden,NJ,Union,40.627065,-74.261998,SingleFamily,2015,178527,1924,3498,1314,2,2,4/27/17,210000,36718,city,Linden
1223 N Stiles St,7036,Linden,NJ,Union,40.629663,-74.275578,SingleFamily,2015,214375,1941,4791,1868,2,4,4/26/17,290000,36718,city,Linden
30 N 14th St,7033,Kenilworth,NJ,Union,40.67659,-74.298148,SingleFamily,2015,254145,1953,4791,NA,2,3,4/26/17,320000,18815,city,Kenilworth
160 E 1st Ave,7203,Roselle,NJ,Union,40.660282,-74.26073,MultiFamily2To4,2015,294138,NA,7405,NA,3,6,4/26/17,115000,13593,city,Roselle
509 E 2nd Ave,7203,Roselle,NJ,Union,40.660727,-74.251254,SingleFamily,2015,197425,1953,4791,NA,3,4,4/26/17,250900,13593,city,Roselle
625 Jackson Ave,7036,Linden,NJ,Union,40.642127,-74.256025,MultiFamily2To4,2015,225377,NA,3049,NA,2,6,4/26/17,140000,36718,city,Linden
1614 Orchard Ter,7036,Linden,NJ,Union,40.639436,-74.270427,SingleFamily,2015,228749,1950,3920,1437,2,3,4/26/17,230000,36718,city,Linden
961 Park Ter,7083,Union,NJ,Union,40.696139,-74.275242,SingleFamily,2015,277222,1922,6874,NA,NA,NA,4/26/17,235000,20883,city,Union
118 Carteret St,7036,Linden,NJ,Union,40.631401,-74.246929,SingleFamily,2015,270630,1940,7501,NA,1,2,4/25/17,271000,36718,city,Linden
36 Salem Rd,7974,New Providence,NJ,Union,40.697743,-74.395063,SingleFamily,2015,381869,1950,6969,1422,1,3,4/25/17,469900,46727,city,New Providence
20 Greenbriar Dr,7901,Summit,NJ,Union,40.699613,-74.370653,SingleFamily,2015,1708091,1937,20473,NA,4,5,4/24/17,1300000,27319,city,Summit
409 Gable Ln,7036,Linden,NJ,Union,40.622661,-74.244878,MultiFamily2To4,2015,262466,1964,3920,NA,3,6,4/24/17,33100,36718,city,Linden
2111 Alberta Ave,7036,Linden,NJ,Union,40.652262,-74.23136,SingleFamily,2015,250577,1960,4791,5001,3,3,4/24/17,400000,36718,city,Linden
306 Riverside Dr,7016,Cranford,NJ,Union,40.663437,-74.30774,SingleFamily,2015,356658,1937,9147,2050,2,3,4/24/17,452500,31092,city,Cranford
212 Court Pl,7060,Plainfield,NJ,Union,40.618541,-74.41767,SingleFamily,2015,105679,1921,2212,1820,2,4,4/24/17,99574,33445,city,Plainfield
951 Arnet Ave,7083,Union,NJ,Union,40.685252,-74.242434,SingleFamily,2015,251913,1929,3920,NA,1,3,4/24/17,253000,20883,city,Union
870 Hamilton St,7065,Rahway,NJ,Union,40.61436,-74.288308,SingleFamily,2015,273449,1929,10018,1538,2,4,4/24/17,309000,8854,city,Rahway
272 Forest Dr,7083,Union,NJ,Union,40.673568,-74.264569,SingleFamily,2015,242496,1939,5227,NA,1,3,4/24/17,298000,20883,city,Union
255 Tucker Ave APT 329,7083,Union,NJ,Union,40.673127,-74.268278,Townhouse,2015,73573,1970,NA,NA,1,1,4/21/17,90000,20883,city,Union
731 Midvale Pl,7036,Linden,NJ,Union,40.634122,-74.283335,SingleFamily,2015,279148,1961,4356,1478,2,3,4/21/17,377000,36718,city,Linden
2 Whittredge Rd,7901,Summit,NJ,Union,40.722022,-74.354871,SingleFamily,2015,3073089,2002,26571,5725,7,6,4/21/17,2850000,27319,city,Summit
109 Tall Oaks Dr,7901,Summit,NJ,Union,40.700183,-74.386481,SingleFamily,2015,612710,1959,14810,2400,3,4,4/21/17,825000,27319,city,Summit
