street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
64 Christine Dr,7936,East Hanover,NJ,Morris,40.822653,-74.349731,SingleFamily,2015,489810,1962,20373,2164,3,3,4/20/17,535000,8759,city,East Hanover
3304 Appleton Way,7981,Whippany,NJ,Morris,40.819376,-74.427393,Townhouse,2015,245422,1993,4356,1164,2,2,4/20/17,312043,189064,city,Hanover
102 Jesse Ct,7045,Montville,NJ,Morris,40.903601,-74.380933,SingleFamily,2015,426368,1990,4356,1900,3,2,4/20/17,455000,43583,city,Montville
14 Dorothy Rd,7054,Parsippany,NJ,Morris,40.854088,-74.428412,SingleFamily,2015,387277,1997,6098,1855,3,4,4/20/17,441751,396009,city,Parsippany-Troy Hills Township
8 Hillcrest Dr,7834,Denville,NJ,Morris,40.904554,-74.485538,SingleFamily,2015,549548,1918,60984,2564,4,3,4/20/17,580000,29899,city,Denville
8313 Sanctuary Blvd,7457,Riverdale,NJ,Morris,40.993702,-74.322682,Condominium,2015,271811,2006,NA,1048,2,2,4/20/17,256500,13534,city,Riverdale
23 Redding Pl,7082,Towaco,NJ,Morris,40.923161,-74.329601,SingleFamily,2015,689071,1950,30056,3752,3,5,4/20/17,555000,43583,city,Montville
75 Sunrise Dr,7981,Whippany,NJ,Morris,40.83221,-74.422534,Condominium,2015,237950,1993,4574,783,1,1,4/20/17,242000,189064,city,Hanover
21 Willard Pl,7960,Morristown,NJ,Morris,40.811645,-74.482506,SingleFamily,2015,500877,2009,12632,NA,3,3,4/20/17,500250,53420,city,Morristown
18 Oxford Dr,7936,East Hanover,NJ,Morris,40.82234,-74.360773,SingleFamily,2015,529012,1973,20020,2176,3,4,4/20/17,565000,8759,city,East Hanover
4 Shirley Ter,7405,Kinnelon,NJ,Morris,40.979265,-74.3489,SingleFamily,2016,623512,2001,43124,3000,2.5,4,4/20/17,620000,21851,city,Kinnelon
9 Stoneleigh Ter,7457,Riverdale,NJ,Morris,40.988097,-74.318171,SingleFamily,2015,496356,1993,48351,2736,3,4,4/20/17,590000,13534,city,Riverdale
24 Noelle Ct,7035,Lincoln Park,NJ,Morris,40.912235,-74.292906,Condominium,2015,319300,1987,NA,NA,3,2,4/20/17,316500,25599,city,Lincoln Park
53 Lorraine Ter,7005,Boonton,NJ,Morris,40.912568,-74.414695,SingleFamily,2015,359480,1966,4844,1900,1,3,4/20/17,400000,3752,city,Boonton
100 Burnham Pkwy,7960,Morristown,NJ,Morris,40.796081,-74.498925,SingleFamily,2015,454470,1926,9583,2390,2,4,4/20/17,519000,398997,city,Morris Township
5 Sunset Ln,7054,Parsippany,NJ,Morris,40.844172,-74.400621,SingleFamily,2015,423173,1974,30927,2020,3,4,4/20/17,470000,396009,city,Parsippany-Troy Hills Township
17 Kearney Ave,7981,Whippany,NJ,Morris,40.8291,-74.418688,SingleFamily,2015,310145,1936,10019,954,1,2,4/20/17,305000,189064,city,Hanover
10 Sussex Rd,7054,Parsippany,NJ,Morris,40.857148,-74.439711,SingleFamily,2015,324724,1955,6098,NA,2,4,4/20/17,355000,396009,city,Parsippany-Troy Hills Township
8 Druetzler Ct,7981,Whippany,NJ,Morris,40.809634,-74.430097,SingleFamily,2015,713850,1978,15115,4067,4,6,4/20/17,600000,189064,city,Hanover
62 Conkling Rd,7852,Ledgewood,NJ,Morris,40.88185,-74.677585,SingleFamily,2015,500381,1999,17424,3700,5,4,4/20/17,503531,398431,city,Roxbury Township
19 Clover Hill Dr,7836,Flanders,NJ,Morris,40.818163,-74.708244,SingleFamily,2015,231100,1969,9583,NA,1,3,4/20/17,251000,397185,city,Mt Olive Township
31 N Four Bridges Rd,7853,Long Valley,NJ,Morris,40.809668,-74.738229,SingleFamily,2015,690000,1997,261360,6162,5,4,4/20/17,584000,49769,city,Long Valley
24 Powhatatan Way,7840,Hackettstown,NJ,Morris,40.856749,-74.807629,SingleFamily,2015,375500,1987,44431,2336,3,4,4/20/17,399000,397185,city,Mt Olive Township
5 Kerry Pl,7836,Flanders,NJ,Morris,40.841918,-74.73033,SingleFamily,2015,423600,1983,41382,2960,3,4,4/20/17,495000,397185,city,Mt Olive Township
15 N Dell Ave,7847,Kenvil,NJ,Morris,40.88101,-74.618148,SingleFamily,2015,391066,1994,9583,NA,3,3,4/20/17,384900,NA,NA,NA
2 Myrtle Ave,7828,Budd Lake,NJ,Morris,40.863811,-74.756184,SingleFamily,2015,202000,1968,13068,1888,2,3,4/20/17,270000,35236,city,Budd Lake
188 Riveredge Dr,7928,Chatham,NJ,Morris,40.718684,-74.394276,Townhouse,2015,426999,1993,1663,1663,2,2,4/19/17,458000,397771,city,Chatham Township
120 Meyersville Rd,7928,Chatham,NJ,Morris,40.703033,-74.439729,SingleFamily,2015,547723,2015,45302,4000,6,5,4/19/17,1412000,397771,city,Chatham Township
25 House Rd,7960,Morristown,NJ,Morris,40.777936,-74.46344,SingleFamily,2015,404664,1930,10049,2523,3,4,4/19/17,739000,398997,city,Morris Township
