street,zip_code,city,state,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
160 Overlook Ave APT 6A,07601,Hackensack,NJ,40.888007,-74.054469,Condominium,2015,271912.0,1986,344,N/A,2.0,2,01/17/2008,333000,38835,city,Hackensack
72 Pine St,07601,Hackensack,NJ,40.902444,-74.044167,SingleFamily,2015,278189.0,1936,5001,1400,2.5,3,03/30/2017,373500,38835,city,Hackensack
285 Louis St,07601,Hackensack,NJ,40.910852,-74.042649,SingleFamily,2015,312038.0,1931,5000,1664,1.0,4,01/09/2017,330000,38835,city,Hackensack
205 Ross Ave,07601,Hackensack,NJ,40.900804,-74.047441,SingleFamily,2015,314167.0,1940,5001,1486,1.0,3,09/07/2016,339000,38835,city,Hackensack
63 Krone Pl,07601,Hackensack,NJ,40.903629,-74.046779,SingleFamily,2015,242434.0,1936,5001,1272,N/A,N/A,01/27/2017,237900,38835,city,Hackensack
146 Summit Ave,07601,Hackensack,NJ,40.888743,-74.056853,SingleFamily,2015,640103.0,1900,N/A,N/A,5.0,5,01/27/2017,590000,38835,city,Hackensack
378 Kaplan Ave,07601,Hackensack,NJ,40.883455,-74.059618,SingleFamily,2015,287492.0,1940,5001,1497,3.0,2,01/11/2017,280000,38835,city,Hackensack
493 W Anderson St,07601,Hackensack,NJ,40.901397,-74.056319,SingleFamily,2015,238287.0,1930,7405,786,1.5,2,11/30/2016,289000,38835,city,Hackensack
433 Thompson St,07601,Hackensack,NJ,40.885554,-74.060929,MultiFamily2To4,2015,286146.0,1950,7,2848,3.0,4,02/13/2017,197000,38835,city,Hackensack
134 Ricardo Pl,07601,Hackensack,NJ,40.884543,-74.047872,SingleFamily,2015,197490.0,1936,2674,891,N/A,N/A,01/17/2017,250000,38835,city,Hackensack
