street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
353 Sanford Ave,7205,Hillside,NJ,union,40.690345,-74.225341,SingleFamily,2015,208129,1931,3999,NA,2,3,2/5/17,239000,55745,city,Hillside
805 Caldwell Ave,7083,Union,NJ,union,40.692607,-74.280455,SingleFamily,2015,305474,1954,6969,NA,3,4,2/3/17,320000,20883,city,Union
1508 Lawrence St,7065,Rahway,NJ,union,40.603934,-74.269631,SingleFamily,2015,96563,2015,5227,1600,3,5,2/3/17,340000,8854,city,Rahway
27 John St,7202,Elizabeth,NJ,union,40.656327,-74.202777,MultiFamily2To4,2015,212718,1960,2613,NA,3,5,2/3/17,225000,31388,city,Elizabeth
30 Carpenter Pl,7016,Cranford,NJ,union,40.660712,-74.28512,SingleFamily,2015,281535,1910,7840,1518,2,3,2/2/17,326000,31092,city,Cranford
589 Mountain Ave,7081,Springfield,NJ,union,40.69504,-74.326429,SingleFamily,2015,271084,1944,10001,1700,2,4,2/2/17,255000,41030,city,Springfield
1391 Chapel Hill Rd,7092,Mountainside,NJ,union,40.68007,-74.37138,SingleFamily,2015,836195,1964,20908,NA,3,3,2/2/17,715000,39910,city,Mountainside
729 Harrison Ave,7203,Roselle,NJ,union,40.653271,-74.249791,SingleFamily,2015,192381,1950,5227,NA,1,4,2/2/17,190000,13593,city,Roselle
896 Galloping Hill Rd,7083,Union,NJ,union,40.672982,-74.261467,SingleFamily,2016,255665,1960,7840,NA,2,4,2/2/17,300000,20883,city,Union
107 Chandler Ave,7036,Linden,NJ,union,40.642091,-74.241051,MultiFamily2To4,2015,373203,2004,5662,3268,4,6,2/2/17,340000,36718,city,Linden
131 E Curtis St,7036,Linden,NJ,union,40.636514,-74.258196,MultiFamily2To4,2015,412777,1958,5662,3136,2,6,2/1/17,279000,36718,city,Linden
593 Birch Ave,7090,Westfield,NJ,union,40.664392,-74.351816,SingleFamily,2015,807555,1927,11761,2770,3.5,4,2/1/17,845000,27896,city,Westfield
982 Townley Ave,7083,Union,NJ,union,40.687732,-74.245075,SingleFamily,2015,266627,1925,7405,NA,2,4,2/1/17,315000,760928,neighborhood,Putnam Manor
1146 Woodruff Ave,7205,Hillside,NJ,union,40.690952,-74.22229,SingleFamily,2015,205589,NA,5227,NA,3,4,2/1/17,280000,55745,city,Hillside
80 Prospect St,7901,Summit,NJ,union,40.712132,-74.367687,SingleFamily,2015,1542244,1908,34412,3815,3.5,5,2/1/17,1700000,27319,city,Summit
641 W Lincoln Ave,7065,Rahway,NJ,union,40.620862,-74.275911,SingleFamily,2015,185351,1930,4500,1720,3,4,2/1/17,310000,8854,city,Rahway
358 E Milton Ave,7065,Rahway,NJ,union,40.604667,-74.270529,SingleFamily,2016,119986,1930,1428,784,NA,NA,1/31/17,90000,8854,city,Rahway
19 Brook Rd,7974,New Providence,NJ,union,40.709751,-74.407951,SingleFamily,2015,341308,1950,6969,NA,2,4,1/31/17,315000,46727,city,New Providence
3 Paterson Rd,7023,Fanwood,NJ,union,40.637538,-74.396533,SingleFamily,2015,333971,1955,5502,NA,2,3,1/31/17,240000,42402,city,Fanwood
1269 Carlton Ter,7083,Union,NJ,union,40.712482,-74.290598,SingleFamily,2015,276633,NA,10123,2000,2,3,1/31/17,332000,20883,city,Union
43 Franklin St,7088,Vauxhall,NJ,union,40.720033,-74.293363,SingleFamily,2015,404944,2005,71874,2230,3,3,1/31/17,420000,20883,city,Union
318 Linden Rd,7203,Roselle,NJ,union,40.658896,-74.247378,SingleFamily,2015,253087,1958,5662,NA,2,3,1/31/17,220000,13593,city,Roselle
1540 Julian Ter,7083,Union,NJ,union,40.705117,-74.256745,SingleFamily,2015,242495,1950,5227,NA,2,3,1/31/17,290000,20883,city,Union
691 Wood Ave,7203,Roselle,NJ,union,40.646723,-74.27641,SingleFamily,2015,210994,NA,NA,NA,1,3,1/31/17,230000,13593,city,Roselle
